function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00080,ret_7100015990,return_stub_7100015990,7100015990,return_stubs,recovered_body,0,,,,4796899,4796903,161707819,161707865,161707813,161707865,src/functions/return_stubs/batch_00/7100000000/1984_functions.inc,156,void ret_7100015990(void)
function_00081,ret_71000159A0,return_stub_71000159a0,71000159a0,return_stubs,recovered_body,0,,,,4796907,4796911,161707871,161707917,161707865,161707917,src/functions/return_stubs/batch_00/7100000000/1984_functions.inc,208,void ret_71000159A0(void)
function_00082,FUN_71000159b0,unidentified_function_71000159b0,71000159b0,internal,recovered_body,0,,,,4796915,4796926,161707923,161708090,161707917,161708090,src/functions/internal/batch_00/7100000000/1985_functions.inc,0,void FUN_71000159b0(int param_1)
function_00083,branch_71000159D0_0x710225e140,branch_stub_71000159d0_to_710225e140,71000159d0,branch_stubs,recovered_body,0,710225e140,,,4796930,4796935,161708096,161708224,161708090,161708224,src/functions/branch_stubs/batch_00/7100000000/1986_functions.inc,0,void branch_71000159D0_0x710225e140(undefined8 param_1)
function_00084,FUN_71000159e0,unidentified_function_71000159e0,71000159e0,internal,recovered_body,0,,,,4796939,4796956,161708230,161708621,161708224,161708621,src/functions/internal/batch_00/7100000000/1987_functions.inc,0,undefined * FUN_71000159e0(int param_1)
function_00085,FUN_7100015a40,unidentified_function_7100015a40,7100015a40,internal,recovered_body,0,,,,4796960,4796971,161708627,161708855,161708621,161708855,src/functions/internal/batch_00/7100000000/1987_functions.inc,397,"void FUN_7100015a40(undefined8 param_1,long param_2)"
function_00086,FUN_7100015a60,unidentified_function_7100015a60,7100015a60,internal,recovered_body,0,,,,4796975,4797009,161708861,161709854,161708855,161709854,src/functions/internal/batch_00/7100000000/1987_functions.inc,631,"void FUN_7100015a60(long param_1,int param_2)"
function_00087,FUN_7100015b40,unidentified_function_7100015b40,7100015b40,internal,recovered_body,0,,,,4797013,4797017,161709860,161709914,161709854,161709914,src/functions/internal/batch_00/7100000000/1987_functions.inc,1630,undefined8 FUN_7100015b40(void)
function_00088,FUN_7100015b50,unidentified_function_7100015b50,7100015b50,internal,recovered_body,0,,,,4797023,4797147,161709975,161714564,161709914,161714564,src/functions/internal/batch_00/7100000000/1987_functions.inc,1690,"long FUN_7100015b50(char *param_1,char *param_2)"
function_00089,FUN_7100015ed0,unidentified_function_7100015ed0,7100015ed0,internal,recovered_body,0,,,,4797151,4797156,161714570,161714682,161714564,161714682,src/functions/internal/batch_00/7100000000/1987_functions.inc,6340,undefined8 FUN_7100015ed0(undefined8 param_1)
function_00090,FUN_7100015ef0,unidentified_function_7100015ef0,7100015ef0,internal,recovered_body,0,,,,4797160,4797201,161714688,161716118,161714682,161716118,src/functions/internal/batch_00/7100000000/1987_functions.inc,6458,"uint FUN_7100015ef0(long param_1,int param_2,int param_3,long param_4,uint param_5,uint param_6)"
function_00091,FUN_7100016040,unidentified_function_7100016040,7100016040,internal,recovered_body,0,,,,4797205,4797221,161716124,161716518,161716118,161716518,src/functions/internal/batch_00/7100000000/1987_functions.inc,7894,undefined1 * FUN_7100016040(long param_1)
function_00092,FUN_7100016090,unidentified_function_7100016090,7100016090,internal,recovered_body,0,,,,4797225,4797236,161716524,161716741,161716518,161716741,src/functions/internal/batch_00/7100000000/1987_functions.inc,8294,long FUN_7100016090(void)
function_00093,FUN_71000160d0,unidentified_function_71000160d0,71000160d0,internal,recovered_body,0,,,,4797240,4797245,161716747,161716868,161716741,161716868,src/functions/internal/batch_00/7100000000/1987_functions.inc,8517,undefined8 FUN_71000160d0(undefined8 param_1)
function_00094,FUN_71000160f0,unidentified_function_71000160f0,71000160f0,internal,recovered_body,0,,,,4797249,4797253,161716874,161716937,161716868,161716937,src/functions/internal/batch_00/7100000000/1987_functions.inc,8644,undefined8 FUN_71000160f0(void)
function_00095,FUN_7100016100,unidentified_function_7100016100,7100016100,internal,recovered_body,0,,,,4797257,4797266,161716943,161717281,161716937,161717281,src/functions/internal/batch_00/7100000000/1987_functions.inc,8713,"uint FUN_7100016100(long param_1,uint param_2,uint param_3,long param_4)"
